issue_id,series_ticker,subject,word_normalized,latest14d_events,latest14d_mean_probability,prior28d_events,prior28d_mean_probability,matched_supported,change_pp,interpretation
ai_jobs_regulation,KXEARNINGSMENTIONKLAR,klarna group plc,ai / artificial intelligence,0,,1,0.73,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONLLY,eli lilly and company,ai / artificial intelligence,0,,1,0.555,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONLUNR,intuitive machines inc.,ai / artificial intelligence,0,,1,0.66,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONLYFT,lyft inc.,anthropic / claude,0,,1,0.255,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONMELI,mercadolibre inc.,ai / artificial intelligence,0,,1,0.825,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONMELI,mercadolibre inc.,automated / automation,0,,1,0.315,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONMSFT,microsoft corporation,anthropic,0,,1,0.515,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONMSFT,microsoft corporation,openai,0,,1,0.945,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONNVDA,nvidia corporation,automation,1,0.33,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPANW,palo alto networks,protect ai,1,0.245,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPATH,uipath,claude / anthropic,1,0.46499999999999997,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPATH,uipath,openai,1,0.37,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPGR,the progressive corporation,ai / artificial intelligence,0,,1,0.745,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPLTR,palantir technologies inc.,anthropic / claude,0,,1,0.245,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPLTR,palantir technologies inc.,slop / ai slop,0,,1,0.615,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPLTR,palantir technologies inc.,sovereign ai,0,,1,0.64,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONPYPL,paypal holdings inc.,anthropic / claude,0,,1,0.22999999999999998,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONRDDT,reddit inc.,openai / open ai,0,,1,0.425,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONSBUX,starbucks corporation,ai / artificial intelligence,0,,1,0.365,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONSHOP,shopify inc.,automation,0,,1,0.38,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONSHOP,shopify inc.,openai,0,,1,0.385,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONSNOW,snowflake,openai,1,0.665,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONSPCX,space exploration technologies corp.,anthropic / openai,0,,1,0.785,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONTGT,target corporation,autonomous / automation,0,,1,0.11000000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
