issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
electricity_datacenters,policy,2026-07-06,5,0,2617.34,2026-07-12,11927.64,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-07-13,7,1,7512.53,2026-07-19,11803.3,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-07-20,7,2,19184.73,2026-07-26,17409.55,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-07-27,7,0,5221.17,2026-08-02,14868.8,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-08-03,7,1,2519.66,2026-08-09,14131.75,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-08-10,7,0,322.59000000000003,2026-08-16,9508.04,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-08-17,7,5,13987.41,2026-08-23,17674.03,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-08-24,7,0,11428.72,2026-08-30,18915.65,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-08-31,7,0,7712.679999999999,2026-09-06,25503.399999999998,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
electricity_datacenters,policy,2026-09-07,1,0,10.0,2026-09-07,25499.239999999998,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-07-06,5,0,281349.9,2026-07-12,2490003.15,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-07-13,7,1,836089.64,2026-07-19,2877156.92,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-07-20,7,0,1187276.33,2026-07-26,3353969.0,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-07-27,7,1,1256570.36,2026-08-02,2769055.66,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-08-03,7,2,664611.41,2026-08-09,3078563.4899999998,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-08-10,7,0,576848.6,2026-08-16,3303494.14,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-08-17,7,0,522858.54,2026-08-23,3524097.7199999997,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-08-24,7,0,802653.3,2026-08-30,4069786.21,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-08-31,7,3,405555.19,2026-09-06,3498680.56,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,macro,2026-09-07,1,0,46301.94,2026-09-07,3518848.77,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-07-06,5,2,190711.01,2026-07-12,33175.69,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-07-13,7,24,1353573.66,2026-07-19,31976.88,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-07-20,7,35,799965.35,2026-07-26,60453.03,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-07-27,7,20,795045.66,2026-08-02,37609.11,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-08-03,7,15,447198.25,2026-08-09,28268.72,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-08-10,7,13,333919.13,2026-08-16,16742.760000000002,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-08-17,7,11,238451.57,2026-08-23,22237.64,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-08-24,7,16,204973.37,2026-08-30,47427.81,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-08-31,7,8,194850.66,2026-09-06,53988.49,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,mention,2026-09-07,1,1,10382.52,2026-09-07,61718.7,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-07-06,5,3,1939036.69,2026-07-12,7977693.73,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
