issue_id,channel,series_ticker,recent_days,day,period,fixed_panel_contracts,volume,observed_contracts,events,traded_contracts,median_spread,usable_hours,hours,volume_per_observed_contract,issue_label
electoral_context,election,SENATEMA,14,2026-08-11,prior,1,0.0,1.0,1.0,0.0,0.0289999999999999,7.0,7.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-12,prior,1,0.0,1.0,1.0,0.0,0.019,9.0,9.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-13,prior,1,0.0,1.0,1.0,0.0,0.019,9.0,9.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-14,prior,1,0.0,1.0,1.0,0.0,0.0289999999999999,12.0,12.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-15,prior,1,47.42,1.0,1.0,1.0,0.028,4.0,4.0,47.42,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-17,prior,1,117.24,1.0,1.0,1.0,0.027,19.0,19.0,117.24,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-18,prior,1,48.42,1.0,1.0,1.0,0.028,10.0,10.0,48.42,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-20,prior,1,629.68,1.0,1.0,1.0,0.018,9.0,9.0,629.68,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-21,prior,1,0.0,1.0,1.0,0.0,0.0249999999999999,20.0,20.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-22,prior,1,0.0,1.0,1.0,0.0,0.0249999999999999,10.0,10.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-23,prior,1,0.03,1.0,1.0,1.0,0.0249999999999999,4.0,4.0,0.03,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-24,prior,1,17.13,1.0,1.0,1.0,0.0249999999999999,3.0,3.0,17.13,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-25,recent,1,0.0,1.0,1.0,0.0,0.023,4.0,4.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-27,recent,1,0.0,1.0,1.0,0.0,0.023,1.0,1.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-28,recent,1,0.0,1.0,1.0,0.0,0.023,6.0,6.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-29,recent,1,0.0,1.0,1.0,0.0,0.019,2.0,2.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-30,recent,1,1455.1,1.0,1.0,1.0,0.021,8.0,8.0,1455.1,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-08-31,recent,1,14.5,1.0,1.0,1.0,0.02,23.0,23.0,14.5,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-01,recent,1,3.32,1.0,1.0,1.0,0.02,14.0,14.0,3.32,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-02,recent,1,156.63,1.0,1.0,1.0,0.017,12.0,12.0,156.63,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-03,recent,1,0.0,1.0,1.0,0.0,0.017,13.0,13.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-04,recent,1,0.0,1.0,1.0,0.0,0.011,4.0,4.0,0.0,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-05,recent,1,0.1,1.0,1.0,1.0,0.012,6.0,6.0,0.1,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-06,recent,1,4.68,1.0,1.0,1.0,0.0139999999999999,5.0,5.0,4.68,Election outcomes and control
electoral_context,election,SENATEMA,14,2026-09-07,recent,1,0.0,1.0,1.0,0.0,0.015,2.0,2.0,0.0,Election outcomes and control
electoral_context,election,SENATEME,14,2026-07-28,prior,2,16029.95,2.0,1.0,2.0,0.01,46.0,46.0,8014.975,Election outcomes and control
electoral_context,election,SENATEME,14,2026-07-29,prior,2,13058.380000000001,2.0,1.0,2.0,0.01,48.0,48.0,6529.1900000000005,Election outcomes and control
electoral_context,election,SENATEME,14,2026-07-30,prior,2,8443.93,2.0,1.0,2.0,0.01,46.0,46.0,4221.965,Election outcomes and control
electoral_context,election,SENATEME,14,2026-07-31,prior,2,24725.36,2.0,1.0,2.0,0.01,48.0,48.0,12362.68,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-01,prior,2,14413.41,2.0,1.0,2.0,0.01,48.0,48.0,7206.705,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-02,prior,2,4201.110000000001,2.0,1.0,2.0,0.01,48.0,48.0,2100.5550000000003,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-03,prior,2,2812.05,2.0,1.0,2.0,0.01,48.0,48.0,1406.025,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-04,prior,2,12416.46,2.0,1.0,2.0,0.01,48.0,48.0,6208.23,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-05,prior,2,14942.27,2.0,1.0,2.0,0.01,44.0,44.0,7471.135,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-06,prior,2,10593.67,2.0,1.0,2.0,0.01,43.0,43.0,5296.835,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-07,prior,2,7844.0,2.0,1.0,2.0,0.01,33.0,33.0,3922.0,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-08,prior,2,4728.34,2.0,1.0,2.0,0.01,37.0,37.0,2364.17,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-09,prior,2,2594.59,2.0,1.0,2.0,0.01,42.0,42.0,1297.295,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-10,prior,2,38529.48,2.0,1.0,2.0,0.01,47.0,47.0,19264.74,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-11,prior,2,4832.719999999999,2.0,1.0,2.0,0.01,37.0,37.0,2416.3599999999997,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-12,prior,2,66828.88,2.0,1.0,2.0,0.00999999999999995,38.0,38.0,33414.44,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-13,prior,2,12542.64,2.0,1.0,2.0,0.00999999999999995,45.0,45.0,6271.32,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-14,prior,2,51488.68,2.0,1.0,2.0,0.01,40.0,40.0,25744.34,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-15,prior,2,6256.570000000001,2.0,1.0,2.0,0.01,39.0,39.0,3128.2850000000003,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-16,prior,2,3243.5,2.0,1.0,2.0,0.01,37.0,37.0,1621.75,Election outcomes and control
