issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
trade_tariffs,mention,KXEARNINGSMENTIONHIMS,KXEARNINGSMENTIONHIMS-26AUG10,2026-07-23T00:00:00Z,2,1.0,107.5,215.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONHPE,KXEARNINGSMENTIONHPE-26SEP02,2026-08-26T00:00:00Z,4,1.0,27.162499999999998,108.64999999999999,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONHPE,KXEARNINGSMENTIONHPE-26SEP02,2026-08-26T00:00:00Z,2,1.0,40.05,80.1,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONINTC,KXEARNINGSMENTIONINTC-26JUL23,2026-07-08T00:00:00Z,2,1.0,62.0,124.0,Trade and tariffs
taxes_fiscal,mention,KXEARNINGSMENTIONINTU,KXEARNINGSMENTIONINTU-26AUG25,2026-08-19T00:00:00Z,2,1.0,57.505,115.01,Taxes and fiscal policy
affordability_inflation,mention,KXEARNINGSMENTIONKLAR,KXEARNINGSMENTIONKLAR-26AUG18,2026-07-23T00:00:00Z,2,1.0,200.0,400.0,Affordability and inflation
ai_jobs_regulation,mention,KXEARNINGSMENTIONKLAR,KXEARNINGSMENTIONKLAR-26AUG18,2026-07-23T00:00:00Z,2,1.0,486.0,972.0,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONKR,KXEARNINGSMENTIONKR-26SEP11,2026-08-26T00:00:00Z,2,1.0,550.375,1100.75,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONKR,KXEARNINGSMENTIONKR-26SEP11,2026-08-26T00:00:00Z,2,1.0,0.73,1.46,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONKR,KXEARNINGSMENTIONKR-26SEP11,2026-08-26T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONLLY,KXEARNINGSMENTIONLLY-26AUG07,2026-07-21T00:00:00Z,2,1.0,237.02499999999998,474.04999999999995,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONLLY,KXEARNINGSMENTIONLLY-26AUG07,2026-07-21T00:00:00Z,2,1.0,729.0,1458.0,Trade and tariffs
energy_iran,mention,KXEARNINGSMENTIONLULU,KXEARNINGSMENTIONLULU-26SEP03,2026-08-26T00:00:00Z,2,1.0,221.14,442.28,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONLULU,KXEARNINGSMENTIONLULU-26SEP03,2026-08-26T00:00:00Z,2,1.0,716.425,1432.85,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONLUNR,KXEARNINGSMENTIONLUNR-26AUG13,2026-08-11T00:00:00Z,2,1.0,980.115,1960.23,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONLYFT,KXEARNINGSMENTIONLYFT-26AUG06,2026-07-23T00:00:00Z,2,1.0,201.0,402.0,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONLYFT,KXEARNINGSMENTIONLYFT-26AUG06,2026-07-23T00:00:00Z,4,1.0,253.935,1015.74,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONLYFT,KXEARNINGSMENTIONLYFT-26AUG06,2026-07-23T00:00:00Z,2,1.0,355.0,710.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONM,KXEARNINGSMENTIONM-26SEP10,2026-08-26T00:00:00Z,4,1.0,26.0,104.0,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONMCD,KXEARNINGSMENTIONMCD-26AUG04,2026-07-23T00:00:00Z,2,1.0,200.0,400.0,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONMCD,KXEARNINGSMENTIONMCD-26AUG04,2026-07-23T00:00:00Z,2,1.0,324.5,649.0,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONMDT,KXEARNINGSMENTIONMDT-26SEP01,2026-08-26T00:00:00Z,2,1.0,69.805,139.61,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONMELI,KXEARNINGSMENTIONMELI-26AUG05,2026-07-23T00:00:00Z,4,1.0,223.25,893.0,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONMELI,KXEARNINGSMENTIONMELI-26AUG05,2026-07-23T00:00:00Z,2,1.0,240.325,480.65,Energy and Iran
jobs_growth,mention,KXEARNINGSMENTIONMELI,KXEARNINGSMENTIONMELI-26AUG05,2026-07-23T00:00:00Z,2,1.0,513.5,1027.0,Jobs and growth
ai_jobs_regulation,mention,KXEARNINGSMENTIONMSFT,KXEARNINGSMENTIONMSFT-26JUL29,2026-07-21T00:00:00Z,4,1.0,136.935,547.74,"AI, jobs and regulation"
jobs_growth,mention,KXEARNINGSMENTIONMSFT,KXEARNINGSMENTIONMSFT-26JUL29,2026-07-21T00:00:00Z,2,1.0,5.55,11.1,Jobs and growth
trade_tariffs,mention,KXEARNINGSMENTIONNKE,KXEARNINGSMENTIONNKE-26SEP29,2026-08-26T00:00:00Z,2,1.0,54.17,108.34,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONNVDA,KXEARNINGSMENTIONNVDA-26AUG26,2026-07-24T00:00:00Z,2,1.0,110.66999999999999,221.33999999999997,"AI, jobs and regulation"
housing,mention,KXEARNINGSMENTIONNVDA,KXEARNINGSMENTIONNVDA-26AUG26,2026-07-24T00:00:00Z,2,1.0,0.0,0.0,Housing
trade_tariffs,mention,KXEARNINGSMENTIONNVDA,KXEARNINGSMENTIONNVDA-26AUG26,2026-07-24T00:00:00Z,2,1.0,15.78,31.56,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONORCL,KXEARNINGSMENTIONORCL-26SEP08,2026-08-26T00:00:00Z,4,1.0,2.3449999999999998,9.379999999999999,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONPANW,KXEARNINGSMENTIONPANW-26SEP01,2026-08-26T00:00:00Z,2,1.0,77.985,155.97,"AI, jobs and regulation"
