issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,minimum_day_coverage,issue_label
housing,macro,14,126,5,5,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Housing
housing,mention,7,13,8,2,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Housing
housing,mention,14,13,8,2,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Housing
housing,policy,7,34,9,6,6,16,3,0.32726733316056994,0.2092771897912929,-0.21958545715168692,2.0,0.3333333333333333,0.3134920634920635,14559.79,0.9464559584994015,KXRENTFREEZEEFFECT,0.9859016393442623,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Housing
housing,policy,14,34,9,6,5,10,3,-0.259936666097047,0.2866954951929132,-0.061118581118147775,2.0,0.4,0.3032967032967033,15807.37,0.8742782638731175,KXRENTFREEZEEFFECT,0.9784615384615385,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Housing
immigration,mention,7,133,21,14,2,2,3,0.8479443857454168,1.5318720930388712,0.665315370555005,1.0,0.5,0.5833333333333334,2454.41,0.959257010849858,KXSECPRESSMENTION,0.7237762237762237,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Immigration
immigration,mention,14,133,21,16,1,1,3,0.5206620776101691,0.5448773429559304,,1.0,1.0,0.38461538461538464,427.0,1.0,KXEARNINGSMENTIONSTZ,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Immigration
immigration,policy,7,42,13,10,6,9,3,0.16551470811911717,0.7476758894997088,0.21218313993960897,3.0,0.5,0.3984126984126984,9707.369999999999,0.9111190775668384,KXDEPORTATIONS,0.9952830188679245,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Immigration
immigration,policy,14,42,13,10,6,10,3,-0.10127901475478995,0.8487579883665237,0.07527973193494084,2.0,0.3333333333333333,0.37957875457875456,25975.12,0.9322736526337512,KXDEPORTATIONS,0.9810514528201804,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Immigration
jobs_growth,macro,7,650,14,13,10,123,3,-0.28838519866975354,0.5746790648264034,0.08060352091417623,5.0,0.5,0.32857142857142857,153910.49,0.7982923061319602,KXRECSSNBER,0.9422477014918244,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
jobs_growth,macro,14,650,14,14,7,103,3,-0.20261814591361146,0.5614064174606088,-1.0102373745123752,3.0,0.42857142857142855,0.3401360544217687,518596.63,0.6254338752644807,KXU3,0.9606299212598425,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
jobs_growth,mention,7,30,17,3,1,2,3,2.2204390934133893,5.2196655099835025,1.2148356600842403,1.0,1.0,1.0,4893.68,1.0,KXTRUMPSAYNICKNAME,0.7,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
jobs_growth,mention,14,30,17,6,2,4,3,0.9637884912928665,2.447678705223039,0.8899666523756782,2.0,1.0,0.7211538461538461,6729.599999999999,0.9643084284355683,KXTRUMPSAYNICKNAME,0.7689632599623599,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
jobs_growth,policy,7,15,3,3,2,3,3,0.3065199252153997,0.30448662174244384,0.08465468617217778,1.0,0.5,0.35714285714285715,1522.2900000000002,1.0,KXBILLS,0.9587962962962964,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
jobs_growth,policy,14,15,3,3,1,1,3,-0.11002437647424523,0.39859251779486193,-0.10393224332167354,0.0,0.0,0.6428571428571429,2573.68,1.0,KXBILLS,0.9840637450199203,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Jobs and growth
taxes_fiscal,macro,7,29,2,2,2,5,3,-1.4666338611181808,0.00953312209042589,-0.5444593866759104,0.0,0.0,0.18333333333333335,11.67,0.5998286203941731,KXTRADEDEFICIT,0.9555555555555555,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
taxes_fiscal,macro,14,29,2,2,2,4,3,-0.002144035735422767,0.7099746333854239,3.4256766921485555,1.0,0.5,0.3146853146853147,3617.4199999999996,0.9980649191965545,KXDEFGDP,0.9638956310679612,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
taxes_fiscal,mention,7,56,16,9,1,2,3,0.08429797180987497,0.5348156383175837,,1.0,1.0,0.2857142857142857,18.04,1.0,KXFEDMENTION,0.9968354430379747,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
taxes_fiscal,mention,14,56,16,9,1,2,3,-0.3580894212370266,0.17016727455665953,,0.0,0.0,0.14285714285714285,18.04,1.0,KXFEDMENTION,0.9840546697038725,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
taxes_fiscal,policy,7,206,46,42,23,68,3,-0.18379771546881252,0.39903475391945575,-0.1368558432214127,9.0,0.391304347826087,0.29089026915113875,18603.02,0.28730281427424154,KXGOVTCUTS,0.989010989010989,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
taxes_fiscal,policy,14,206,46,42,27,74,3,-0.15749583977255963,0.5372975861088514,-0.15393735575325124,12.0,0.4444444444444444,0.3192794859461526,94967.95,0.6378350801507244,KXSUSPENDGASTAX,0.9148936170212766,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,0.7,Taxes and fiscal policy
trade_tariffs,macro,7,28,1,1,1,4,3,-0.49966951868604087,0.016673657175109647,,0.0,0.0,0.2,7.0,1.0,KXTRADEDEFICIT,0.9111111111111111,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
trade_tariffs,macro,14,28,1,1,1,3,3,-0.7940200833179514,0.007090618099309172,3.4256766921485555,0.0,0.0,0.09090909090909091,7.0,1.0,KXTRADEDEFICIT,0.9375,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
trade_tariffs,mention,7,169,86,47,6,6,3,0.3660962548235551,0.4635673279062254,0.3868395769714896,3.0,0.5,0.4666666666666668,2889.6000000000004,0.9364548726467331,KXSECPRESSMENTION,0.9486842105263158,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
trade_tariffs,mention,14,169,86,58,5,5,3,0.04693520610355506,1.000729993612556,,3.0,0.6,0.3043356643356644,515.72,0.5541766850228806,KXEARNINGSMENTIONCCL,0.835820895522388,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
trade_tariffs,policy,7,145,30,26,18,33,3,-0.11567661863292751,0.3282380039115448,-0.2599420046142219,4.0,0.2222222222222222,0.2611111111111111,14600.73,0.4577839601170626,KXTARIFFCHECKS,0.9512108262108262,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
trade_tariffs,policy,14,145,30,26,18,37,3,-0.2036875211334791,0.48896031465784195,-0.21663882610572288,4.0,0.2222222222222222,0.24865134865134866,35890.75,0.5976776746097533,KXTARIFFCHECKS,0.8535338495135993,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,0.7,Trade and tariffs
affordability_inflation,macro,7,593,10,9,4,72,3,1.2157614791511482,2.0099593681888517,0.7431431290766692,3.0,0.75,0.8571428571428572,331868.11000000004,0.7847527139621822,KXCPIYOY,0.39873196868674,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
affordability_inflation,macro,14,593,10,9,5,67,3,1.0449049915254363,1.3034357954835092,1.0738066352823026,4.0,0.8,0.7023809523809523,606581.62,0.698821405106208,KXCPIYOY,0.43381940549635445,broad_persistent_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
affordability_inflation,mention,7,283,44,26,3,3,3,1.1163454979925964,2.436138014527845,0.6255731703438402,3.0,1.0,0.7142857142857143,2829.6099999999997,0.9579058598181375,KXSECPRESSMENTION,1.0,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
affordability_inflation,mention,14,283,44,27,3,3,3,0.2738960866895919,2.4134175645298814,,2.0,0.6666666666666666,0.4682539682539683,331.78,0.55901500994635,KXFEDMENTION,0.9813084112149533,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
affordability_inflation,policy,7,13,7,6,1,1,3,-0.5316532559370137,0.18749715443785117,0.03866072896302066,0.0,0.0,0.5714285714285714,118.97,1.0,KXNYCGROCERY,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
affordability_inflation,policy,14,13,7,6,3,7,3,-0.43082884752182754,0.0956184153985212,-0.1775642668773379,0.0,0.0,0.11904761904761905,286.8,1.0,KXNYCGROCERY,0.7526315789473684,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Affordability and inflation
ai_jobs_regulation,mention,7,325,88,58,4,4,3,0.24948592938710606,1.0169828775491843,0.38573400347844644,3.0,0.75,0.5714285714285714,1810.7,0.5609322361517646,KXSECPRESSMENTION,0.7349813928761297,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,"AI, jobs and regulation"
ai_jobs_regulation,mention,14,325,88,73,3,3,3,0.8128509525173677,2.055484224901661,1.5471988084707577,3.0,1.0,0.6428571428571429,2580.32,0.8264595088981211,KXEARNINGSMENTIONDPZ,0.875968992248062,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,"AI, jobs and regulation"
ai_jobs_regulation,policy,7,26,16,16,7,7,3,0.6281445169326176,1.0025988388166989,0.08465468617217778,6.0,0.8571428571428571,0.44897959183673464,4521.1,0.3367078808254628,KXBILLS,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,"AI, jobs and regulation"
ai_jobs_regulation,policy,14,26,16,16,9,10,3,0.24170420862431122,2.375821818813277,-0.07112866957453863,5.0,0.5555555555555556,0.32671957671957674,12944.669999999998,0.49019944115995234,KXUSACOMPANYSTAKE,0.9840637450199203,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,"AI, jobs and regulation"
electoral_context,election,7,1228,161,160,118,247,3,0.2770738331609949,0.7880311452294568,0.12278925710313236,67.0,0.5677966101694916,0.46731234866828075,6231846.910000001,0.22549581051887552,CONTROLH,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Election outcomes and control
