issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,distinct_coverage_classifications,minimum_eligible_families_across_coverage,classification_stable_across_coverage,issue_label
housing,mention,14,13,8,2,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Housing
housing,policy,7,34,9,6,4,5,3,0.5673343350948159,0.38251448069985483,-0.21958545715168692,2.0,0.5,0.47023809523809523,14559.79,0.9464559584994015,KXRENTFREEZEEFFECT,0.9959016393442623,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,4,True,Housing
housing,policy,14,34,9,6,5,10,3,-0.259936666097047,0.2866954951929132,-0.061118581118147775,2.0,0.4,0.3032967032967033,15807.37,0.8742782638731175,KXRENTFREEZEEFFECT,0.9784615384615385,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,4,True,Housing
immigration,mention,7,133,21,14,2,2,3,0.8479443857454168,1.5318720930388712,0.665315370555005,1.0,0.5,0.5833333333333334,2454.41,0.959257010849858,KXSECPRESSMENTION,0.7237762237762237,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Immigration
immigration,mention,14,133,21,16,1,1,3,0.5206620776101691,0.5448773429559304,,1.0,1.0,0.38461538461538464,427.0,1.0,KXEARNINGSMENTIONSTZ,1.0,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Immigration
immigration,policy,7,42,13,10,5,8,3,0.3146218069002953,0.942998698694485,0.20197436030209198,3.0,0.6,0.4714285714285714,9808.97,0.9016818279595106,KXDEPORTATIONS,1.0,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Immigration
immigration,policy,14,42,13,10,7,10,3,-0.09026806940874321,0.4943128811686671,0.048862063408319584,2.0,0.2857142857142857,0.32535321821036106,25975.12,0.9322736526337512,KXDEPORTATIONS,0.9787234042553191,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,3,False,Immigration
jobs_growth,macro,7,650,14,13,9,89,3,-0.2994196068965757,0.11950490823730259,-0.5444593866759104,4.0,0.4444444444444444,0.2777777777777778,146420.86,0.8391260644145924,KXRECSSNBER,0.9586538461538462,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,1,4,True,Jobs and growth
jobs_growth,macro,14,650,14,14,7,84,3,-0.32677217699269995,0.5614064174606088,-1.0449559151095178,3.0,0.42857142857142855,0.304421768707483,208311.08999999997,0.814503106867714,KXRECSSNBER,0.9606299212598425,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,2,5,False,Jobs and growth
jobs_growth,mention,7,30,17,3,2,4,3,1.3131617863399958,2.848828445061427,0.8472186451165754,2.0,1.0,0.9285714285714286,5030.37,0.9728270485073663,KXTRUMPSAYNICKNAME,0.8468051118210862,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Jobs and growth
jobs_growth,mention,14,30,17,6,2,4,3,0.9637884912928665,2.447678705223039,0.8899666523756782,2.0,1.0,0.7211538461538461,6729.599999999999,0.9643084284355683,KXTRUMPSAYNICKNAME,0.7689632599623599,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Jobs and growth
jobs_growth,policy,7,15,3,3,1,1,3,0.7895527112458822,0.6089732434848877,0.08465468617217778,1.0,1.0,0.7142857142857143,1522.2900000000002,1.0,KXBILLS,0.9916666666666667,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Jobs and growth
jobs_growth,policy,14,15,3,3,1,1,3,-0.11002437647424523,0.39859251779486193,-0.10393224332167354,0.0,0.0,0.6428571428571429,2573.68,1.0,KXBILLS,0.9840637450199203,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Jobs and growth
taxes_fiscal,macro,7,29,2,2,2,3,3,-1.4281875470789251,0.008723288212362608,-0.5444593866759104,0.0,0.0,0.22619047619047616,12.75,0.6337254901960785,KXTRADEDEFICIT,0.9627659574468085,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Taxes and fiscal policy
taxes_fiscal,macro,14,29,2,2,2,3,3,0.03809081964866279,0.7105216239245135,,1.0,0.5,0.34615384615384615,3618.4999999999995,0.9977670305375156,KXDEFGDP,0.972993732333784,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,2,True,Taxes and fiscal policy
taxes_fiscal,mention,7,56,16,9,1,2,3,0.08429797180987497,0.5348156383175837,,1.0,1.0,0.2857142857142857,18.04,1.0,KXFEDMENTION,0.9968354430379747,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Taxes and fiscal policy
taxes_fiscal,mention,14,56,16,9,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,0,True,Taxes and fiscal policy
taxes_fiscal,policy,7,206,46,42,21,39,3,0.06054512070303148,0.5786395858338303,-0.1368558432214127,10.0,0.47619047619047616,0.37868480725623577,22854.079999999998,0.25512906229434745,KXGOVTCUTS,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,2,13,False,Taxes and fiscal policy
taxes_fiscal,policy,14,206,46,42,22,45,3,-0.23743271365527718,0.5396440349923398,-0.11004948509798246,9.0,0.4090909090909091,0.29778554778554783,89681.76,0.6754315481765746,KXSUSPENDGASTAX,0.9674916387959867,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,2,14,False,Taxes and fiscal policy
trade_tariffs,macro,7,28,1,1,1,2,3,-0.4227768906075295,0.015053989418983081,,0.0,0.0,0.2857142857142857,8.08,1.0,KXTRADEDEFICIT,0.925531914893617,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Trade and tariffs
trade_tariffs,macro,14,28,1,1,1,2,3,-0.7135503725497803,0.0081845991774883,,0.0,0.0,0.15384615384615385,8.08,1.0,KXTRADEDEFICIT,0.9556962025316456,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,1,1,True,Trade and tariffs
trade_tariffs,mention,7,169,86,47,2,2,3,1.1158829084690352,1.8352286708113743,0.3868395769714896,2.0,1.0,0.5,2815.6500000000005,0.9610498463942606,KXSECPRESSMENTION,0.9521324863883847,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,2,2,False,Trade and tariffs
trade_tariffs,mention,14,169,86,58,3,3,3,0.412575252619052,1.7207242076291234,,3.0,1.0,0.4102564102564103,508.54,0.5620010225351005,KXEARNINGSMENTIONCCL,0.7966101694915254,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,2,1,False,Trade and tariffs
trade_tariffs,policy,7,145,30,26,11,16,3,-0.08694669922157687,0.5600555311865494,-0.45071932438365553,4.0,0.36363636363636365,0.3311688311688312,13925.43,0.47998374197421545,KXTARIFFCHECKS,0.9846153846153847,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,2,8,False,Trade and tariffs
trade_tariffs,policy,14,145,30,26,16,25,3,-0.25244182198425275,0.4611280421198362,-0.18951269083618538,2.0,0.125,0.24971382783882784,33965.83,0.6315494130424606,KXTARIFFCHECKS,0.9291979949874687,no_broad_marketplace_activity_increase,requires_independent_poll_campaign_and_policy_evidence,1,11,True,Trade and tariffs
